Ocurrències	Occitan	Morfologia oci	Francés	Morfologia fra (si diferent d’oci)	Comentaris 
5832	çò	<detnt>	xxx		
4385	lor	<prn><tn>	xxx		
4135	sa	<det><pos>			Això és un “sa” estrany que és “mf”, no “f”!
2741	fòrça	<det><ind>			
2250	ne	<cnjcoo>			
1975	ne	<adv><enon>			Això és un dels “enonciatius”.
1965	dempuèi	<adv>			
1946	quand	<adv>			
1794	de mai	<adv>			
1769	cap de	<det><ind>			
1639	mes	<adv>			
1639	debanar	<vblex>			
1547	dos	<adj>			
1515	qui	<prn><itg>			
1487	polícia	<n><mf>			
1453	Euròpa	<np><ant>			
1397	veir	<vblex>			
1152	que ven	<adj>			Em sembla molt estranya aquesta forma. Posa xxx si et sembla el mateix
950	vier	<vblex>			
947	per que	<cnjadv>			
926	novèl	<adj>			
918	ensajar# de	<vblex>			Posa “xxx” en formes que siguin iguals mot a mot en francès
905	aqueth	<prn><tn>			
902	estada	<n><f>			
845	Generalitat	<np><al>			
810	mai que mai	<adv>			
802	En mai d'aquò	<adv>	xxx		
799	voler	<vbmod><pri>			
772	entà	<pr>			
760	sens	<n><m>			
733	p	<n><f>			
713	remembrar	<vblex>			
685	nivèl	<n><m>			
671	Ça que la	<cnjadv>			
654	atac	<n><m>			
650	mès	<adv>			
616	com	<adv><itg>			
606	meteis	<adv>			
598	vos	<prn><tn>			
592	d	<n><f>			
591	pres	<adj>			
578	aver# de	<vbmod><pri>			
572	quite	<adj>			
567	d'òc	<adj>			
564	ser	<n><m>			
559	music	<n><f>			
546	e mai se	<cnjadv>			
544	Que	<adv><enon>			
542	perméter	<vblex>			
530	entrar	<vblex>			
527	reunion	<n><f>			
483	cauma	<n><f>			
474	tres	<adj>			
474	on	<adv><itg>			
473	far# partida	<vblex>			
451	detier	<vblex>			
448	gran	<adj>			
444	monde	<n><m>			
440	quitar	<vblex>			
439	reprene	<vblex>			
436	tan	<preadv>			
426	Vielh	<adj>			
426	près de	<pr>			
421	E mai se	<cnjadv>			
416	punt	<n><m>			
414	anonciar# que	<vblex>			
398	Dempuèi	<adv>			
394	cèrca	<n><f>			
390	Totun	<cnjadv>			
388	non pas	<adv>			
387	nòstre	<adj>			
378	mas tanben	<cnjcoo>			
372	voler	<vbmod><pii>			
372	aute	<adj>			
371	dins de	<pr>			
369	Quand	<adv>			
363	Calandreta	<n><f>			
360	pr'amor	<cnjadv>			
360	Elèit	<n><m>			
354	dever	<vbmod><pri>			
349	estar	<vblex>			
346	un	<det><ind>			
342	mil	<num><f>			
341	pòrtavotz	<n><mf>			
340	Generau	<adj>			
339	pas mai	<adv>			
332	sèir	<vblex>			
330	obtier	<vblex>			
329	dever	<vbmod><pii>			
322	qualqu'un	<det><ind>			
315	Sénter	<vblex>			
309	pas encara	<adv>			
305	modèl	<adj>			
299	Vilaweb	<np><al>			
296	CUP	<n><acr>			
294	sostier	<vblex>			
293	nòste	<adj>			
293	abans de	<pr>			
288	sit# web	<n><m>			
288	aprene	<vblex>			
285	quauque	<det><ind>			
283	malgrat	<adv>			
280	mantenir	<vblex>			
274	fins ara	<adv>			
273	va	<prn><pro>			
271	brave	<adj>			
270	rot	<adj>			
267	aguest	<prn><tn>			
264	rendre	<vblex>			
264	n	<n><f>			
264	airal	<n><m>			
254	perqué	<cnjadv>			
253	tà	<pr>			
253	partisan	<adj>			
250	mençonar	<vblex>			
250	eth sòn	<det><pos>			
249	quan	<adv><itg>			
248	Païses Catalans	<np><top>			
248	çò es	<adv>			
247	u	<n><f>			
247	proteccion	<n><f>			
246	IEO	<n><acr>			
239	méter	<vblex>			
239	demest	<adv>			
233	auer# de	<vbmod><pri>			
230	totun	<cnjadv>			
230	Mónegue	<np><top>			
229	produire	<vblex>			
229	dia	<n><m>			
227	quatre	<adj>			
226	prumèr	<adj>			
222	St	<n><m>			
222	De mai	<adv>			
220	:	<sent>/:<sent>$			
220	Ne	<adv><enon>			
219	Demest	<adv>			
218	a l'ostal	<adv>			
215	niçard	<adj>			
215	hòrt	<adj>			
215	fam	<n><f>			
212	es a dire	<adv>			
212	Aqueth	<prn><tn>			
211	per tot	<adv>			
208	lengua	<n><f>			
208	eth	<prn><tn>			
207	tot aquò	<prn><tn>			
207	Sèir	<vblex>			
203	J	<n><f>			
202	Nadal	<np><al>			
202	espectator	<n><m>			
201	bastissa	<n><f>			
200	tant	<adj>			
200	Monde	<n><m>			
197	tot lo mond	<prn><tn>			
195	contier	<vblex>			
193	prim	<adj>			
193	ce	<detnt>			
192	plan de	<adv>			
192	grèva	<n><f>			
192	Catalonha Nòrd	<np><top>			
191	prene# en compte	<vblex>			
190	una seguida de	<pr>			
189	voler	<vbmod><pp>			
186	libe	<n><m>			
186	Les	<np><top>			
185	Voler	<vbmod><pri>			
185	Mireia	<np><ant>			
184	a l'escòla	<adv>			
183	mon	<n><m>			
183	esperar# que	<vblex>			
182	Gàrdia	<n><mf>			
182	atencion	<ij>			
181	contenir	<vblex>			
174	Nobel	<np><al>			
173	Sa	<det><pos>			
172	de còps	<adv>			
171	conéisher	<vblex>			
170	díder	<vblex>			
168	cinc	<adj>			
167	subjècte	<adj>			
167	menar# a tèrme	<vblex>			
167	conservator	<adj>			
167	Çò	<detnt>			
165	vielh	<adj>			
165	sindic	<n><m>			
165	recampar	<vblex>			
165	bilingüe	<adj>			
164	pas	<n><f>			
164	escríuer	<vblex>			
163	B	<n><f>			
161	prètzfach	<n><m>			
161	impòst	<n><m>			
161	bèth	<det><ind>			
160	sòn	<adj>			
158	solet	<adj>			
156	sieu	<adj>			
155	demorar# en	<vblex>			
154	un chic	<adv>			
152	voler	<vbmod><ifi>			
151	NASA	<n><acr>			
150	sedença	<n><f>			
150	atau	<adv>			
149	degut	<adj>			
147	ac	<prn><pro>			
146	Malgrat	<adv>			
146	amb mai de	<pr>			
145	ça que la	<cnjadv>			
144	marchar	<vblex>			
144	mainatge	<n><m>			
143	quora	<adv>			
143	femenin	<adj>			
143	de la part de	<pr>			
141	Mès	<adv>			
141	gàrdia	<n><mf>			
139	podar	<vblex>			
138	hèsta	<n><f>			
137	P	<n><f>			
137	Mal	<adj>			
136	voler	<vbmod><inf>			
135	miei	<adj>			
135	dret	<n><m>			
134	País Valencian	<np><top>			
132	Palai	<n><m>			
132	avisar	<vblex>			
131	aver# de	<vbmod><inf>			
131	aperténer	<vblex>			
130	lèma	<n><m>			
130	Gran	<adj>			
130	estatjant	<n><m>			
128	metre# en examen	<vblex>			
128	Mes	<adv>			
128	locau	<adj>			
127	autobús	<n><m>			
126	tradicionau	<adj>			
126	quitar# de	<vblex>			
125	joen	<adj>			
124	pièger	<adj>			
124	Baish	<adv>			
123	Tot aquò	<prn><tn>			
123	massís	<n><f>			
122	Miquèu	<np><ant>			
122	darrèr	<adv>			
122	code	<n><m>			
122	bastiment	<n><m>			
121	reunir	<vblex>			
121	nimai	<adv>			
120	gojat	<n><f>			
119	ofèrta	<n><f>			
119	generau	<adj>			
119	endavant	<adv>			
117	.	<sent>/.<sent>$			
117	percórrer	<vblex>			
117	per aquò	<adv>			
115	sobeiranista	<adj>			
114	Canari	<adj>			
114	Bossòst	<np><top>			
113	traduire	<vblex>			
112	U	<n><f>			
112	uei	<adv>			
112	difondre	<vblex>			
112	despuèi	<adv>			
111	nos	<prn><tn>			
111	gojat	<n><m>			
111	auer# de	<vbmod><fti>			
111	aprobacion	<n><f>			
110	jutjat	<n><m>			
110	Fins ara	<adv>			
110	estonant	<adj>			
110	abriu	<n><m>			
109	prepausa	<n><f>			
109	Midi	<np><top>			
108	vidant	<adj>			
108	hèt	<n><m>			
108	Fòrça	<det><ind>			
108	D	<adj>			
107	Brisbane	<np><top>			
106	non solament	<adv>			
106	culturau	<adj>			
105	ostalariá	<n><f>			
104	totòm	<prn><tn>			
104	seu	<n><f>			
104	Perqué	<cnjadv>			
104	Bigòrra	<np><top>			
103	voler	<vbmod><cni>			
103	Roergue	<np><top>			
103	Nòstre	<adj>			
103	Niçard	<adj>			
103	enqüèra	<adv>			
102	tèrratrem	<n><m>			
102	sociau	<adj>			
102	mai o mens	<adv>			
101	metre# en plaça	<vblex>			
101	mercé	<ij>			
101	Lor	<prn><tn>			
101	10%	<num><percent>			
100	us	<n><m>			
100	Mossol	<np><top>			
100	BCE	<np><al>			
98	revirar	<vblex>			
98	revenir	<vblex>			
98	enténer	<vblex>			
98	còp# d'estat	<n><m>			
98	apréner	<vblex>			
97	modèrne	<adj>			
97	aument	<n><m>			
96	K	<n><f>			
96	far# referéncia	<vblex>			
96	c	<n><f>			
96	Calais	<np><top>			
96	aperar	<vblex>			
95	retenir	<vblex>			
95	mantun	<det><ind>			
95	mantier	<vblex>			
94	a on	<adv><itg>			
93	servir# a	<vblex>			
93	propòsta	<n><f>			
93	malgrat que	<cnjadv>			
93	depaus	<n><m>			
93	Arties	<np><top>			
92	Vos	<prn><tn>			
92	pauc	<adj>			
92	F	<n><f>			
92	dusau	<adj>			
92	auer# de	<vbmod><pp>			
90	uèi lo jorn	<adv>			
90	provenir# de	<vblex>			
90	Per aquò	<adv>			
90	pauc	<prn><tn>			
90	detenir	<vblex>			
89	no	<adv>			
89	caça	<n><f>			
88	massa	<adv>			
88	coïncidir	<vblex>			
87	quate	<num><mf>			
87	dur	<adv>			
86	fugida	<n><f>			
86	20%	<num><percent>			
85	malhum	<n><m>			
85	bòrd	<adj>			
84	palai	<n><m>			
84	Felibritge	<n><m>			
84	Arpitània	<np><top>			
84	antifaissista	<adj>			
83	traductor	<n><m>			
83	pertocar	<vblex>			
83	darrèr	<adj>			
83	autonomic	<adj>			
83	archiu	<n><m>			
82	Lord	<adj>			
82	espanholista	<adj>			
82	bilheta	<n><f>			
82	Atau	<adv>			
81	jacobin	<adj>			
81	estonat	<adj>			
80	saudita	<adj>			
80	occitanocatalan	<adj>			
80	Beret	<np><top>			
79	rompre	<vblex>			
79	quitament pas	<adv>			
79	fòrabandir	<vblex>			
79	entrada	<n><f>			
79	deishar	<vblex>			
79	a la fin	<adv>			
78	valent	<adj>			
78	Querimònia	<np><al>			
78	provençau	<adj>			
78	enguan	<adv>			
77	sur	<pr>			
77	pregària	<n><f>			
77	Lengua	<n><f>			
77	d'ensenhament	<adj>			
77	creator	<n><m>			
76	Sindic	<n><m>			
76	Pèir	<np><ant>			
76	observaire	<adj>			
76	Mijaran	<np><top>			
76	Martí	<np><ant>			
76	ICV	<n><acr>			
76	avier	<vblex>			
76	Ankara	<np><top>			
75	T	<n><f>			
75	sègre	<vblex>			
75	Pasca	<n><f>			
74	x	<n><f>			
74	noveme	<n><m>			
74	descríuer	<vblex>			
74	bàter	<vblex>			
74	aver# de besonh	<vblex>			
74	aué	<adv>			
74	antiterrorista	<adj>			
74	analista	<adj>			
74	adreiça	<n><f>			
73	R	<n><f>			
73	Rif	<np><top>			
73	nau	<adj>			
73	granar	<vblex>			
73	G	<n><f>			
72	multitudinari	<adj>			
